metrics,query,galago,anserini,galago_best,anserini_best,abs_diff
P_20,enwiki:Aftertaste/Temporal%20taste%20perception/Variability%20of%20human%20taste%20perception,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Aftertaste/Temporal%20taste%20perception/Variability%20of%20human%20taste%20perception,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Aftertaste/Temporal%20taste%20perception/Variability%20of%20human%20taste%20perception,0.4307,0.5,-0.06929999999999997,0.06929999999999997,0.06929999999999997
map,enwiki:Air%20ioniser,0.5588,0.6,-0.041200000000000014,0.041200000000000014,0.041200000000000014
Rprec,enwiki:Air%20ioniser,0.5,0.5,0.0,0.0,0.0
recip_rank,enwiki:Air%20ioniser,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Air%20ioniser,0.1,0.1,0.0,0.0,0.0
recall_40,enwiki:Air%20ioniser,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Air%20ioniser,0.7602,0.7904,-0.030200000000000005,0.030200000000000005,0.030200000000000005
map,enwiki:Air%20ioniser/Adverse%20health%20effects,1.0,1.0,0.0,0.0,0.0
Rprec,enwiki:Air%20ioniser/Adverse%20health%20effects,1.0,1.0,0.0,0.0,0.0
recip_rank,enwiki:Air%20ioniser/Adverse%20health%20effects,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Air%20ioniser/Adverse%20health%20effects,0.05,0.05,0.0,0.0,0.0
recall_40,enwiki:Air%20ioniser/Adverse%20health%20effects,1.0,1.0,0.0,0.0,0.0
ndcg_cut_20,enwiki:Air%20ioniser/Adverse%20health%20effects,1.0,1.0,0.0,0.0,0.0
map,enwiki:Air%20ioniser/Consumer%20Reports%20court%20case,0.5833,0.6667,-0.08339999999999992,0.08339999999999992,0.08339999999999992
Rprec,enwiki:Air%20ioniser/Consumer%20Reports%20court%20case,0.5,0.5,0.0,0.0,0.0
recip_rank,enwiki:Air%20ioniser/Consumer%20Reports%20court%20case,1.0,1.0,0.0,0.0,0.0
P_20,enwiki:Air%20ioniser/Consumer%20Reports%20court%20case,0.1,0.1,0.0,0.0,0.0
recall_40,enwiki:Air%20ioniser/Consumer%20Reports%20court%20case,1.0,1.0,0.0,0.0,0.0
